observation_id,service_key,raw_name,duration_raw,price_raw,currency,price_basis,source_id,source_locator,evidence_type,extraction_status,notes
svc_obs_001,body_waxing,Body Waxing,15–90 min,from $25,USD,starting_price,desktop_specification,03_SPECIFICATION.md:165,direct_text,generated_specification_not_canonical,Exact generated service-card specification; not current operating evidence.
svc_obs_002,body_waxing,Body Waxing & Brow Care,15–90 MIN,FROM $25,USD,starting_price,legacy_booking_model_snapshot,js/data.js:42-47,direct_text,older_site_snapshot_not_canonical,Older-site content model; naming expands brow care.
svc_obs_003,body_waxing,Body Waxing & Brow Care,15–90 MIN,FROM $25,USD,starting_price,legacy_service_page_snapshot,services.html body waxing section,direct_text,older_site_snapshot_not_canonical,Older service page repeats the same duration and starting price; not a current-site observation.
svc_obs_004,facial,Facials,60–90 min,from $95,USD,starting_price,desktop_specification,03_SPECIFICATION.md:166,direct_text,generated_specification_not_canonical,Exact generated service-card specification; not current operating evidence.
svc_obs_005,facial,Consultation Facial,60–90 MIN,FROM $95,USD,starting_price,legacy_booking_model_snapshot,js/data.js:25-32,direct_text,older_site_snapshot_not_canonical,Older-site content model; naming expands consultation-led model.
svc_obs_006,facial,Consultation Facial,60–90 MIN,FROM $95,USD,starting_price,legacy_service_page_snapshot,services.html consultation facial section,direct_text,older_site_snapshot_not_canonical,Older service page repeats the same duration and starting price; not a current-site observation.
svc_obs_007,acne,Acne Treatments,60 min,from $110,USD,starting_price,desktop_specification,03_SPECIFICATION.md:167,direct_text,generated_specification_not_canonical,Exact generated service-card specification; not current operating evidence.
svc_obs_008,acne,Acne-Focused Treatment,60 MIN,FROM $110,USD,starting_price,legacy_booking_model_snapshot,js/data.js:33-40,direct_text,older_site_snapshot_not_canonical,Older-site content model; naming uses supportive rather than diagnostic wording.
svc_obs_009,acne,Acne-Focused Treatment,60 MIN,FROM $110,USD,starting_price,legacy_service_page_snapshot,services.html acne-focused section,direct_text,older_site_snapshot_not_canonical,Older service page repeats the same duration and starting price; not a current-site observation.
svc_obs_010,manicure,Manicures,45 min,from $45,USD,starting_price,desktop_specification,03_SPECIFICATION.md:168,direct_text,generated_specification_not_canonical,Exact generated service-card specification; not current operating evidence.
svc_obs_011,manicure,Manicure,45 MIN,FROM $45,USD,starting_price,legacy_booking_model_snapshot,js/data.js:49-56,direct_text,older_site_snapshot_not_canonical,Older-site content model.
svc_obs_012,manicure,Manicure,45 MIN,FROM $45,USD,starting_price,legacy_service_page_snapshot,services.html manicure section,direct_text,older_site_snapshot_not_canonical,Older service page repeats the same duration and starting price; not a current-site observation.
svc_obs_013,monthly_ritual,Monthly Ritual Plan,custom,from $180/mo,USD,monthly_starting_price,desktop_specification,03_SPECIFICATION.md:169,direct_text,generated_specification_not_canonical,Exact generated service-card specification; not current operating evidence.
svc_obs_014,monthly_ritual,Monthly Ritual Plan,CUSTOM,FROM $180/MO,USD,monthly_starting_price,legacy_booking_model_snapshot,js/data.js:57-64,direct_text,older_site_snapshot_not_canonical,Older-site content model.
svc_obs_015,monthly_ritual,Monthly Ritual Plan,CUSTOM,FROM $180/MO,USD,monthly_starting_price,legacy_service_page_snapshot,services.html monthly ritual section,direct_text,older_site_snapshot_not_canonical,Older service page repeats the same duration and starting price; not a current-site observation.
svc_obs_016,skin_consultation,Skin Consultation,30 minutes,INCLUDED WITH EVERY VISIT,USD,included,legacy_booking_model_snapshot,js/data.js:65-72,direct_text,older_site_snapshot_not_canonical,Older-site modeled duration and included-price language.
svc_obs_017,skin_consultation,Skin Consultation,not stated,INCLUDED WITH EVERY VISIT,USD,included,legacy_service_page_snapshot,services.html skin consultation section,direct_text,older_site_snapshot_not_canonical,Older service page does not display a duration; not a current-site observation.
svc_obs_018,senior_facial,Senior Facial,not stated,free for seniors and teens,USD,community_program,community_flyer,Ambers-Essential-Touch-Flyer.pdf:1,visual_and_text_review,extracted,Donation-supported community service; not a standard retail price.
svc_obs_019,teen_facial,Teen Facial,not stated,free for seniors and teens,USD,community_program,community_flyer,Ambers-Essential-Touch-Flyer.pdf:1,visual_and_text_review,extracted,Donation-supported community service; not a standard retail price.
