fact_id,field,value,source_id,source_locator,evidence_status,temporal_status,publication_rule,notes
biz_001,owner_name,Amber Johnson,resume,Ambers resume.pdf:1,source_verified,stable,May be used as owner identity,
biz_002,phone,(510) 228-6657,resume,Ambers resume.pdf:1,source_verified,currentness_unconfirmed,Refresh before public launch,Also present in repo model and social caption.
biz_003,email,ambersessentialtouch@gmail.com,resume,Ambers resume.pdf:1,source_verified,currentness_unconfirmed,Refresh before public launch,Also present in repo model.
biz_004,address,"1622 Michael Dr, Pinole, CA 94564",birdeye_capture,Birdeye PDF:business profile,source_verified_as_snapshot,captured_2026-04-18,Refresh before public launch,
biz_005,hours,Wed-Fri 9:30-7:30; Sat 9:30-5; Sun 11-2,birdeye_capture,Birdeye PDF:business profile,source_verified_as_snapshot,captured_2026-04-18,Refresh before public launch,Monday and Tuesday shown closed.
biz_006,review_rating,4.9 from 25 reviews,birdeye_capture,Birdeye PDF:business profile,source_verified_as_snapshot,captured_2026-04-18,Always date the snapshot; never present as live without refresh,
biz_007,practice_owner_start,June 2010,resume,Ambers resume.pdf:1,source_verified,historical,May be used as a dated career fact,
biz_008,experience,15+ years,resume,Ambers resume.pdf:1,source_verified,currentness_unconfirmed,Prefer until Amber confirms a precise current number,Conflicts with 18 years licensed copy.
biz_009,experience,18 years licensed,desktop_specification,03_SPECIFICATION.md:30 and 114-134,source_asserted,conflict,Do not publish until Amber resolves the conflict,The source repeats the figure but does not supply license verification.
biz_010,practice_type,solo practitioner,voice_and_resume,07_VOICE_GUIDE.md:40 and resume,source_supported,stable,Use first-person singular voice,
biz_011,scheduling_provider,Amber's Google Workspace,owner_direction,conversation 2026-08-13,owner_stated,future_configuration,Record as implementation requirement only; no booking workflow in research phase,
