instance_id,source_id,source_path,relative_path,status,scope,authority,bytes,sha256,mime_type,repo_canonical_path,duplicate_group,notes
src_000001,visual_language_board,/Users/jayjonah/Downloads/ChatGPT Image Jul 12,,true, 2026,prior visual language concept,,,,,,owner_supplied
src_000002,missing_service_archive,/Users/jayjonah/Downloads/amb.zip,,not_located_original_path_relocated,service-card upload path,owner_supplied,,,,,,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
src_000003,missing_home_composite,/Users/jayjonah/Downloads/amb.png,,not_located_original_path_relocated,home-layout composite upload path,owner_supplied,,,,,,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
src_000004,missing_prior_design_pdf,/Users/jayjonah/Downloads/Untitled - August 13,,owner_supplied, 2026 22.38.22.pdf,false,,,,,,not_located_original_path_relocated
src_000005,missing_oils_structure_2,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,not_located_original_path_relocated,product structure source,owner_supplied,,,,,,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
src_000006,missing_oils_structure_1,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE..pdf,,not_located_original_path_relocated,product structure source,owner_supplied,,,,,,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
src_000007,missing_voice_guide_pdf,/Users/jayjonah/ambers-essential-touch/AMBER'S ESSENTIAL TOUCH — VOICE GUIDE.pdf,,not_located_original_path_relocated,voice guide source,owner_supplied,,,,,,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
src_000008,missing_amber_resume_pdf,/Users/jayjonah/ambers-essential-touch/Amber Johnson.pdf,,not_located_original_path_relocated,professional history source,owner_supplied,,,,,,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
src_000009,missing_design_home,/Users/jayjonah/ambers-essential-touch/design-home.dc.html,,not_located_original_path_relocated,prior design source,owner_supplied,,,,,,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
src_000010,missing_website_zip,/Users/jayjonah/Downloads/Amber's Essential Touch Website.zip,,not_located_original_path_relocated,website archive upload path,owner_supplied,,,,,,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
src_000011,missing_home_dc,/Users/jayjonah/Downloads/Amber's Essential Touch - Home.dc.html,,not_located_original_path_relocated,home design source,owner_supplied,,,,,,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
src_000012,missing_ambers_html,/Users/jayjonah/Downloads/ambers-essential-touch.html,,not_located_original_path_relocated,prior complete HTML export,owner_supplied,,,,,,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
src_000013,missing_home_print,/Users/jayjonah/Downloads/Amber's Essential Touch — Home (Print).pdf,,not_located_original_path_relocated,home print source,owner_supplied,,,,,,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
src_000014,missing_img1188_zip,/Users/jayjonah/Downloads/IMG_1188.pdf.zip,,not_located_original_path_relocated,125-page competitor and visual research archive,owner_supplied,,,,,,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
src_000015,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/.gitignore,.gitignore,observed,current repository,repo_observed,26,fddc02dffc0359c8d6a85fa06b42f1a982d50bf5805dce3d7d289b44462d86e3,application/octet-stream,.gitignore,,
src_000016,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/about.html,about.html,observed,current repository,repo_observed,9287,86ee6481fd2e39718adb0ea5a19f59428fe0be9de4b8ac93c59a7739b9002fbf,text/html,about.html,,
src_000017,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/art/2.svg,art/2.svg,observed,current repository,repo_observed,148732,2d266b3d7bfe7116e422864d30986952b1aee3041e1ce6a74e190520dcd591f5,image/svg+xml,art/2.svg,,
src_000018,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-000.jpg,assets/card-000.jpg,observed,current repository,repo_observed,17731,6483da957c54d0bc83d995ba81c66722d6ba8f0399dc2e3eabdfc6e041817d3c,image/jpeg,assets/card-000.jpg,,
src_000019,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-001.png,assets/card-001.png,observed,current repository,repo_observed,24707,cefed993a1be43a1008c04a5f256a982b952ce0d999efabe1604431e8caea9cd,image/png,assets/card-001.png,,
src_000020,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-002.jpg,assets/card-002.jpg,observed,current repository,repo_observed,6413,c7bd39c02981b8eb8262de2c1e8fa99da5a263321384916ab1864aaa03ecb5eb,image/jpeg,assets/card-002.jpg,c7bd39c02981b8eb,
src_000021,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-003.png,assets/card-003.png,observed,current repository,repo_observed,1951,7d92fd8434a56bb2ad094e36ed336ac7453ed8a0eb3788370c2f38742cd7bd69,image/png,assets/card-003.png,,
src_000022,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-004.jpg,assets/card-004.jpg,observed,current repository,repo_observed,6413,c7bd39c02981b8eb8262de2c1e8fa99da5a263321384916ab1864aaa03ecb5eb,image/jpeg,assets/card-004.jpg,c7bd39c02981b8eb,
