reference_id,page_range,observed_name_or_label,reference_type,visual_elements,typography_and_layout_signal,relevance_to_amber,caution
comp_001,1-8,Luciole or Lyciole,bilingual skincare campaign,"grapeseed light, translucent liquid, prismatic glow, deep green field",condensed uppercase product naming with bilingual hierarchy,Hydration and refraction without generic spa imagery,OCR spelling is uncertain; treat name as observed label only.
comp_002,9-15,Blaire,makeup brand system,"burgundy, lavender, skin tint, active ingredient framing",tracked uppercase display system plus structured secondary labels,Shows color-by-product logic and ingredient hierarchy,Reference only; no copying of mark or trade dress.
comp_003,16-24,Toma or Yume,dreamlike skincare identity,"mist, gradients, bloom forms, sleep and awakening imagery",lightweight type over large atmospheric fields,Useful for soft motion and moisture atmosphere,Several pages are Russian-language; OCR is approximate.
comp_004,25-33,Glownir and ESTH Beauty,clinic and digital skincare identity,"before-after education, water cleanser, warm skin photography",card-led responsive layouts with serif/sans editorial hierarchy,Relevant to consultation education and treatment navigation,Do not inherit medical claims or unverified before-after conventions.
comp_005,34-42,Orenda,teen skincare brand system,"nature, harmony, birch amber, formula numbering, dark green and amber",large wordmark with numbered formula cards and modular web sections,Relevant to approachable ritual systems and product families,Reference only; youth and formula claims need separate validation.
comp_006,43-52,Nerelle,minimal skincare packaging,"skin and mineral neutrals, muted blush, plum, sage, soft petal vessels",lowercase wordmark and generous whitespace with tactile product silhouettes,Strong evidence for feminine curving forms and warm light-pink fields,Do not reproduce bottle shapes or identity.
comp_007,53-66,Fond Skin Care,feeling-led skincare identity,"breath-mint blue, soft diffusion, out-of-focus serum shapes",emotion-first headlines with sparse layouts and repeated product modules,Relevant to calm hydration and gradient blur without darkness,Observed source contains promotional claims; use only visual analysis.
comp_008,67-71,Raw Canvas,material-led skincare system,"clay, pulp, charcoal, rough texture, art-making language",bold sans text integrated with raw process imagery,Useful for grounding polished skin imagery with real material texture,Avoid letting roughness overpower Amber's warmer care direction.
comp_009,72-73,Eluna,lunar skincare packaging,"charcoal, sand, lunar glow, black vessels",compact uppercase labels and high-contrast celestial geometry,Limited relevance to night rituals and controlled glow,Current site direction is warmer and brighter.
comp_010,74-79,Zyra,plant-based skincare identity,"deep green gradients, soft blur, matte finish, lush botanical closeups",wide uppercase display and simple product statements,Supports botanical vitality and blurred depth,Owner's current direction requires sunlight rather than a dark forest default.
comp_011,80-83,Bacu Flura,natural-clinical skincare identity,"plant oils, white/green system, medical-natural balance",clean modular panels and centered packaging,Useful for balancing professional credibility and botanical care,Do not imply clinical efficacy without evidence.
comp_012,84-94,Amologia and Cosmomedica,science-led cosmetic systems,"molecule diagrams, technical illustration, sterile lab, space-age retail",precise sans typography with diagrammatic grids,Useful for education and intake clarity,Too clinical as a primary emotional identity for Amber.
comp_013,95-100,Feel,soft supplement and beauty packaging,"pink field, collagen sachets, friendly consumer color",large rounded type and centered product staging,Useful as a cautionary comparison for accessible warmth,Avoid generic pastel wellness styling.
comp_014,101-102,Cissto,industrial design case study,"facial cream jar mechanics, component breakdown, usability",technical diagrams and problem-solution sequence,Relevant to later product packaging and accessibility,Future product phase only.
comp_015,103-112,Soft Beauty ERA and East Asian skincare references,digital commerce and product systems,"natural skin tones, minimal vessels, editorial portraits, clean grids",serif display paired with restrained sans UI,Supports warm editorial treatment and clean commerce architecture,Do not conflate disparate brands as one competitor.
comp_016,113,Amare,packaging identity,"deep plum, gold, beloved ritual language",ornamental wordmark with product-centered hero,Useful only as a contrast for ritual language,Amber's approved identity and copy remain authoritative.
comp_017,114-117,Generic social skin education,social content references,"skin-type charts, ingredient cards, short educational video frames",mobile-first headline and carousel conventions,Useful for future content-system research,Medical or ingredient advice requires professional review.
comp_018,118-125,Amber's own social history,first-party social references,"practitioner video, nails, products, services, donation posts",direct captions and legacy wordmarks within Instagram UI,First-party evidence for tone services and practitioner presence,Dated posts and legacy marks are not automatically current approvals.
