batch_id,reviewed_at,review_scope,file_count,review_artifact,review_result,notes
desktop_identity_social,2026-08-14,Desktop Amber identity portraits social screenshots and copy graphics,12,research/review-sheets/contact-desktop.png,reviewed,Contains Amber portraits; two queen illustrations; two social screenshots; two copy graphics; lotus and legacy mark studies.
downloads_brand_direction,2026-08-14,Explicit Downloads brand art-direction and packaging-catalog files,6,research/review-sheets/contact-downloads.png,reviewed,Approved lotus monogram is distinct from the legacy black amb mark; dark floral iridescent lotus and packaging catalog are references.
essential_water_archive,2026-08-14,Ten images in the Essential like water archive,10,research/review-sheets/contact-essential.png,reviewed,One dark editorial still life; one lotus icon sheet; eight warm botanical product still lifes.
service_card_images,2026-08-14,Six existing repo service-card images,6,research/review-sheets/contact-service-cards.png,reviewed,All six are text-free dark floral crops; later sunlight direction supersedes mood but does not erase provenance.
repo_img_assets,2026-08-14,All readable current repo img assets excluding two invalid pointer files,22,research/review-sheets/contact-repo-img.png,reviewed,Includes portraits identity studies quote graphics six service-card crops and the three main-branch additions reviewed after rebase: Amber portrait 3 approved logo mark and historical celestial logo glyph; amber-1.jpg and amber-2.jpg are tracked separately as unreadable text pointers.
generated_brand_system,2026-08-14,Generated Amber hero component atlas and design board references,6,research/review-sheets/contact-generated-design.png,reviewed,Concept references only; not published assets.
sunlit_direction,2026-08-14,Sunlight flowers moisture gradient references,4,research/review-sheets/contact-sunlit.png,reviewed,Current art direction: warm sunlight; botanical color; moisture; refraction; warm light pink base; no products in site hero imagery.
product_mockups,2026-08-14,Nine generated product mockups shown in the task,9,research/review-sheets/contact-products.png,reviewed,Eight individual packaging concepts are development references; the dark family group was explicitly rejected; baked labels are not approvals.
all_task_generated_images,2026-08-14,All 31 generated images retained in the task source directory,31,research/review-sheets/contact-all-generated.png,reviewed,Includes product concepts; atmospheric sets; lived-skin concepts; rejected dark family group; and sunlight-gradient studies. Individual approval states remain separate.
repo_legacy_fragments,2026-08-14,Every unique hash in 1185 card fragments and ten portrait fragments,399,research/review-sheets/contact-repo-fragments.png,reviewed_unique_hash,These are predominantly masks cropped fragments and text remnants; track every file but do not treat fragments as standalone approved imagery.
aeve_moodboard_pages,2026-08-14,All pages of the 42-page product conversation PDF,42,research/review-sheets/contact-pdf-moodboard.png,reviewed,Includes product imagery; labels; UX; campaigns; prompts and rationale.
aeve_register_pages,2026-08-14,All pages of the 7-page production register,7,research/review-sheets/contact-pdf-register.png,reviewed,Register order retained as future product-research authority.
aeve_storyboard_pages,2026-08-14,All pages of the 14-page storyboard,14,research/review-sheets/contact-pdf-storyboard.png,reviewed,Storyboard order retained as future product-portfolio authority.
birdeye_pdf_pages,2026-08-14,All eight pages of the Birdeye business and review capture,8,research/review-sheets/contact-pdf-birdeye.jpg,reviewed,Snapshot facts remain date-bound and require refresh before publication.
business_pdf_pages,2026-08-14,Resume flyer business card and portrait PDF pages,4,research/review-sheets/contact-pdf-business.jpg,reviewed,Professional history service mission and identity evidence.
creative_pdf_pages,2026-08-14,Three Untitled PDFs the three-page amber PDF and recovered Illustrator PDF-compatible source,7,research/review-sheets/contact-pdf-creative.jpg,reviewed,Historical identity and collateral studies; not current approval.
relocated_amber_direct_visuals,2026-08-14,All 24 directly stored images in the relocated owner source package,24,research/review-sheets/contact-relocated-direct.png,reviewed,Includes Amber source photographs social captures product-family reference home composite and three HEIC photographs converted only for review.
relocated_amber_archive_visuals,2026-08-14,All 1281 image members across the four relocated owner archives,1281,research/review-sheets/contact-relocated-archives.png,reviewed_unique_hash,Every archive member is tracked; 692 unique hashes were resolved; the sheet shows 690 readable images and the two invalid JPG pointers remain explicit; the ten exact amb.zip service-card images are included.
relocated_product_structure_pages,2026-08-14,All 91 pages across the two Amber Essential Oils Structure PDFs,91,research/review-sheets/contact-pdf-relocated-structures.png,reviewed,Product service visual and planning research only; no site build authority.
relocated_img1188_pages,2026-08-14,All 125 pages of IMG_1188.pdf,125,research/review-sheets/contact-pdf-img1188.png,reviewed,Every page reviewed as a supplied visual research source.
relocated_business_design_pages,2026-08-14,All 26 pages across the relocated voice resume flyer home print Amber Johnson and Untitled PDFs,26,research/review-sheets/contact-pdf-relocated-business.png,reviewed,Voice business service identity and design evidence; dated or conflicting facts retain publication gates.
