mention_id,source_id,source_path,line_number,raw_amount,line_excerpt,classification
money_00001,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/donate.html,100,$25,"<a class=""btn btn--primary"" href=""sms:+15102286657?&body=Hi%20Amber%20—%20I%27d%20like%20to%20donate%20%2425%20to%20the%20mission."">$25</a>",unclassified_raw_mention
money_00002,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/donate.html,101,$50,"<a class=""btn btn--primary"" href=""sms:+15102286657?&body=Hi%20Amber%20—%20I%27d%20like%20to%20donate%20%2450%20to%20the%20mission."">$50</a>",unclassified_raw_mention
money_00003,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/donate.html,102,$100,"<a class=""btn btn--primary"" href=""sms:+15102286657?&body=Hi%20Amber%20—%20I%27d%20like%20to%20donate%20%24100%20to%20the%20mission."">$100</a>",unclassified_raw_mention
money_00004,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,220,$85,"<p class=""card__meta"">70 MIN · $85</p>",unclassified_raw_mention
money_00005,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,236,$150,"<p class=""card__meta"">80–90 MIN · $150</p>",unclassified_raw_mention
money_00006,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,251,from $20,"<p class=""card__desc"">Over a decade of precision waxing. Full body, all skin types, unhurried. Brows from $20, Brazilian from $90, and multi-area bundles that save up to $35.</p>",unclassified_raw_mention
money_00007,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,251,from $90,"<p class=""card__desc"">Over a decade of precision waxing. Full body, all skin types, unhurried. Brows from $20, Brazilian from $90, and multi-area bundles that save up to $35.</p>",unclassified_raw_mention
money_00008,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,251,$35,"<p class=""card__desc"">Over a decade of precision waxing. Full body, all skin types, unhurried. Brows from $20, Brazilian from $90, and multi-area bundles that save up to $35.</p>",unclassified_raw_mention
money_00009,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,252,FROM $10,"<p class=""card__meta"">FROM $10 · BROWS $20–25 · BRAZILIAN FROM $90</p>",unclassified_raw_mention
money_00010,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,252,$20,"<p class=""card__meta"">FROM $10 · BROWS $20–25 · BRAZILIAN FROM $90</p>",unclassified_raw_mention
money_00011,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,252,FROM $90,"<p class=""card__meta"">FROM $10 · BROWS $20–25 · BRAZILIAN FROM $90</p>",unclassified_raw_mention
money_00012,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,268,$65,"<p class=""card__meta"">AGES 9–19 · $65</p>",unclassified_raw_mention
money_00013,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,284,$50,"<p class=""card__meta"">30 MIN · $50</p>",unclassified_raw_mention
money_00014,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,300,$25,"<p class=""card__meta"">20 MIN · $25</p>",unclassified_raw_mention
money_00015,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,584,From $18,"<span class=""product__from"">From $18</span>",unclassified_raw_mention
money_00016,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,587,$18,"<p class=""product__price"">2 oz $18 · 8 oz $50</p>",unclassified_raw_mention
money_00017,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,587,$50,"<p class=""product__price"">2 oz $18 · 8 oz $50</p>",unclassified_raw_mention
money_00018,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,599,From $20,"<span class=""product__from"">From $20</span>",unclassified_raw_mention
money_00019,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,602,$20,"<p class=""product__price"">4 oz $20 · 8 oz $40 · 12 oz $60</p>",unclassified_raw_mention
money_00020,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,602,$40,"<p class=""product__price"">4 oz $20 · 8 oz $40 · 12 oz $60</p>",unclassified_raw_mention
money_00021,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,602,$60,"<p class=""product__price"">4 oz $20 · 8 oz $40 · 12 oz $60</p>",unclassified_raw_mention
money_00022,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,614,$45,"<span class=""product__from"">$45</span>",unclassified_raw_mention
money_00023,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,624,$8,"<span class=""product__variant"">SAVES $8</span>",unclassified_raw_mention
money_00024,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/index.html,629,$75,"<span class=""product__from"">$75</span>",unclassified_raw_mention
