relocation_id,original_named_path,located_path,match_basis,status,agent_rule
reloc_001,/Users/jayjonah/Downloads/amb.zip,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./amb.zip,exact_filename_and_uploaded_content,located_replacement,Use the located source while preserving original path history.
reloc_002,/Users/jayjonah/Downloads/amb.png,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./amb.png,exact_filename_and_uploaded_content,located_replacement,Use the located source while preserving original path history.
reloc_003,"/Users/jayjonah/Downloads/Untitled - August 13, 2026 22.38.22.pdf","/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Untitled - August 13, 2026 22.38.22.pdf",exact_filename,located_replacement,Use the located source while preserving original path history.
reloc_004,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,exact_filename,located_replacement,Restricted formula and costing pages must not be published.
reloc_005,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE..pdf,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE..pdf,exact_filename,located_replacement,Restricted formula and costing pages must not be published.
reloc_006,"/Users/jayjonah/ambers-essential-touch/AMBER'S ESSENTIAL TOUCH — VOICE GUIDE.pdf","/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER'S ESSENTIAL TOUCH — VOICE GUIDE.pdf",exact_filename,located_replacement,Use as source evidence while gating unsupported claims.
reloc_007,/Users/jayjonah/ambers-essential-touch/Amber Johnson.pdf,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber Johnson.pdf,exact_filename,located_replacement,Use as professional-history evidence; placeholder contact fields are not facts.
reloc_008,/Users/jayjonah/ambers-essential-touch/design-home.dc.html,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./design-home.dc.html,exact_filename,located_replacement,Historical design source only.
reloc_009,"/Users/jayjonah/Downloads/Amber's Essential Touch Website.zip","/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber's Essential Touch Website.zip",exact_filename,located_replacement,Archive members are independently hashed and cataloged.
reloc_010,"/Users/jayjonah/Downloads/Amber's Essential Touch - Home.dc.html","/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber's Essential Touch - Home.dc.html",exact_filename,located_replacement,Historical design source only.
reloc_011,/Users/jayjonah/Downloads/ambers-essential-touch.html,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./ambers-essential-touch.html,exact_filename,located_replacement,Historical complete HTML export only.
reloc_012,"/Users/jayjonah/Downloads/Amber's Essential Touch — Home (Print).pdf","/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber's Essential Touch — Home (Print).pdf",exact_filename,located_replacement,Use for page-level copy and pricing evidence.
reloc_013,/Users/jayjonah/Downloads/IMG_1188.pdf.zip,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./IMG_1188.pdf.zip,exact_filename,located_replacement,Use as visual and competitor research; do not imply competitor endorsement.
