source_id,absolute_path,scope,materialize,authority,status,notes
approved_logo,/Users/jayjonah/Downloads/Firefly_Gemini Flash_can I see it as just a vector mark- 327843.png,owner-designated approved Amber logo,true,owner_approved,observed,Use this mark as the approved logo reference; do not substitute generated redraws.
visual_language_board,/Users/jayjonah/Downloads/ChatGPT Image Jul 12, 2026, 05_08_24 AM.png,prior visual language concept,true,owner_supplied,observed,Reference only; contains a composited layout and copy.
dark_floral_reference,/Users/jayjonah/Downloads/Generated image 1.png,dark botanical still-life reference,true,owner_supplied,observed,Source family for existing dark service-card crops; later sunlight direction supersedes tone.
iridescent_lotus_reference,/Users/jayjonah/Downloads/Firefly_high quality image  of a translucent studio background with light prisms created by l 919712.jpg,iridescent lotus and prism reference,true,owner_supplied,observed,Reference for refraction and glass qualities.
aeve_moodboard_pdf,/Users/jayjonah/Downloads/Moodboard for æve Skincare Line - Google Gemini.pdf,42-page product and campaign development conversation,true,owner_supplied,observed,Future product research; not an approved Amber site system.
aeve_production_register,/Users/jayjonah/Documents/LIBRARY/FROM_DOWNLOADS/aeve_study01_portfolio_pack/docs/aeve_study01_production_register_v1.pdf,7-page product asset register,true,owner_supplied,observed,Source order for later product research.
aeve_storyboard,/Users/jayjonah/Documents/LIBRARY/PDFS/aeve_study01_portfolio_storyboard_v1.pdf,14-page product portfolio storyboard,true,owner_supplied,observed,Source order for later product research.
aeve_production_register_html,/Users/jayjonah/Documents/LIBRARY/FROM_DOWNLOADS/aeve_study01_portfolio_pack/aeve_study01_production_register_v1.html,production register HTML,true,owner_supplied,observed,Machine-readable companion to the register PDF.
essential_water_archive,"/Users/jayjonah/Downloads/Essential, like water. Preserved, like diamonds..zip",10-image prior botanical product study,true,owner_supplied,observed,Amber-relevant product and floral reference archive.
legacy_amb_mark,/Users/jayjonah/Downloads/300ppi/amb.png,legacy black amb mark,true,owner_supplied,observed,Not the approved lotus monogram.
legacy_amber_glyph,/Users/jayjonah/Downloads/300ppi/amber glyph.png,legacy Amber glyph variant,true,owner_supplied,observed,Track as legacy variant; do not replace approved logo.
legacy_ambers_glyph,/Users/jayjonah/Downloads/300ppi/ambers glyph.png,legacy Amber glyph variant,true,owner_supplied,observed,Track as legacy variant; do not replace approved logo.
legacy_ambers_glyph_ai,/Users/jayjonah/Downloads/300ppi/ambers glyph.ai,legacy editable Amber glyph,true,owner_supplied,observed,Editable source variant.
legacy_logoaet,/Users/jayjonah/Downloads/300ppi/logoaet.png,legacy Amber logo composition,true,owner_supplied,observed,Legacy design study.
legacy_logo4amb,/Users/jayjonah/Downloads/300ppi/logo4amb.png,legacy Amber logo composition,true,owner_supplied,observed,Legacy design study.
packaging_catalog_reference,/Users/jayjonah/Downloads/300ppi/bottles.png,packaging family catalog reference,true,owner_supplied,observed,Shape and packaging research only.
missing_service_archive,/Users/jayjonah/Downloads/amb.zip,service-card upload path,false,owner_supplied,not_located_original_path_relocated,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
missing_home_composite,/Users/jayjonah/Downloads/amb.png,home-layout composite upload path,false,owner_supplied,not_located_original_path_relocated,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
missing_prior_design_pdf,/Users/jayjonah/Downloads/Untitled - August 13, 2026 22.38.22.pdf,prior design report,false,owner_supplied,not_located_original_path_relocated,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
missing_oils_structure_2,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,product structure source,false,owner_supplied,not_located_original_path_relocated,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
missing_oils_structure_1,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE..pdf,product structure source,false,owner_supplied,not_located_original_path_relocated,Exact relocated source is mapped in content/relocation_map.csv and scanned under relocated_amber_source.
